,0
Desert Sky repower,19
Canadian Breaks Wind,18
Tierra Blanca W,16
Broadview Energy JN LLC,16
Northdraw Wind,16
Wildrose Wind,15
Wind Power Partners '94 Wind Farm,14
Delaware Mountain Wind Farm,14
Gusty Hill Wind,14
Pantex Plant Wind Project,13
Armstrong Wind,12
Goodnight Wind,12
Spinning Spur,10
Panhandle Wind 3,10
Wege Wind Farm,10
Majestic,10
West Texas Windplant,10
Panhandle Wind,9
Grandview 4 Phase A Wind,9
Golden Spread Panhandle Wind Ranch,9
JD Wind Farm,7
Route 66,7
Wildorado Wind Farm,7
Exelon Wind 11,7
Little Pringle,7
Sunray Wind Farm,6
Mariah North Wind,6
Darmstadt,5
Barrow Ranch,5
Monte Alto 2 Wind,5
Monte Alto I,5
El Suaz Ranch,5
Oveja Wind,5
East Raymond Wind,5
West Raymond Wind,5
Las Majadas Wind,5
Woodward Mountain I & II Wind Farm,5
Mariah Del Este,5
Wilson Ranch,5
San Roman,4
Gulf Wind 2,4
Gulf Wind 2 Expansion,3
Stella 2 Wind,3
Sand Bluff Repower,2
Lacy Creek Wind Phase 1,2
Water Valley Wind Energy,2
Kontiki 2 Wind (ERNEST),2
Kontiki 1 Wind (ERIK),2
Harald (BearKat Wind B),2
Edmondson Ranch Wind,2
Capricorn IV repower,2
Capricorn I & III repower,2
Falvez Astra,2
Whitehorse Wind,1
WKN Amadeus Wind,1
Grape Creek Wind,1
Grandview,1
Espiritu Wind,1
Cameron,1
Chalupa Wind,1
